layerID,head,strategy,score
5,9,special_punc_heavy_hitter,0.9296875
5,10,special_punc_heavy_hitter,0.96875
5,11,special_punc_heavy_hitter,0.9609375
5,12,special_punc_heavy_hitter,0.984375
5,13,special_punc_heavy_hitter,0.92578125
5,14,special_punc_heavy_hitter,0.9765625
5,15,special_punch_window_heavy_hitter,1.0
5,16,special_punc_heavy_hitter,0.95703125
5,17,special_punc_heavy_hitter,0.98828125
5,18,special_punc_heavy_hitter,0.97265625
5,19,special_punc_heavy_hitter,0.94921875
5,20,special_punc_heavy_hitter,0.953125
5,21,special_punc_heavy_hitter,0.93359375
5,22,special_punc_heavy_hitter,0.95703125
5,23,special_punc_heavy_hitter,0.98046875
5,24,special_punc_heavy_hitter,0.96484375
5,25,special_punc_heavy_hitter,0.984375
5,26,special_punc_heavy_hitter,0.91796875
5,27,special_punc_heavy_hitter,0.9921875
5,28,special_punc_heavy_hitter,0.9296875
5,29,special_punc_heavy_hitter,0.984375
5,30,special_punc_heavy_hitter,0.9296875
5,31,special_punc_heavy_hitter,0.9609375
6,0,special_punc_heavy_hitter,0.9453125
6,1,special_punc_heavy_hitter,0.96484375
6,2,special_punc_heavy_hitter,0.96875
6,3,special_punc_heavy_hitter,0.95703125
6,4,special_punc_heavy_hitter,0.94140625
6,5,special_punc_heavy_hitter,0.90234375
6,6,special_punc_heavy_hitter,0.9765625
6,7,special_punc_heavy_hitter,0.98046875
6,8,special_punc_heavy_hitter,0.96875
6,9,special_punc_heavy_hitter,0.98828125
6,10,special_punc_heavy_hitter,0.98046875
6,11,special_punc_heavy_hitter,0.96484375
6,12,special_punc_heavy_hitter,0.921875
6,13,special_punc_heavy_hitter,0.97265625
6,14,special_punc_heavy_hitter,0.9453125
6,15,special_punc_heavy_hitter,0.9453125
6,16,special_punc_heavy_hitter,1.0
6,17,special_punc_heavy_hitter,0.97265625
6,18,special_punc_heavy_hitter,0.95703125
6,19,special_punc_heavy_hitter,0.921875
6,20,special_punc_heavy_hitter,0.984375
6,21,special_punc_heavy_hitter,0.94921875
6,22,special_punc_heavy_hitter,0.92578125
6,23,special_punc_heavy_hitter,0.98046875
6,24,special_punc_heavy_hitter,0.921875
6,25,special_punc_heavy_hitter,0.97265625
6,26,special_punc_heavy_hitter,0.984375
6,27,special_punch_window_heavy_hitter,0.99609375
6,28,special_punc_heavy_hitter,0.96875
6,29,special_punc_heavy_hitter,0.96484375
6,30,special_punc_heavy_hitter,0.98046875
6,31,special_punc_heavy_hitter,0.9453125
7,0,special_punc_heavy_hitter,0.94921875
7,1,special_punc_heavy_hitter,0.93359375
7,2,special_punc_heavy_hitter,0.94140625
7,3,special_punc_heavy_hitter,0.9921875
7,4,special_punc_heavy_hitter,0.984375
7,5,special_punc_heavy_hitter,0.9453125
7,6,special_punc_heavy_hitter,0.90625
7,7,special_punc_heavy_hitter,0.8984375
7,8,special_punc_heavy_hitter,0.92578125
7,9,special_punc_heavy_hitter,0.8984375
7,10,special_punc_heavy_hitter,1.0
7,11,special_punc_heavy_hitter,0.9765625
7,12,special_punc_heavy_hitter,0.99609375
7,13,special_punc_heavy_hitter,0.9609375
7,14,special_punc_heavy_hitter,0.94921875
7,15,special_punc_heavy_hitter,0.9765625
7,16,special_punc_heavy_hitter,0.97265625
7,17,special_punc_heavy_hitter,0.93359375
7,18,special_punc_heavy_hitter,0.953125
7,19,special_punc_heavy_hitter,0.94921875
7,20,special_punc_heavy_hitter,0.9921875
7,21,special_punc_heavy_hitter,0.921875
7,22,special_punc_heavy_hitter,0.9296875
7,23,special_punc_heavy_hitter,0.99609375
7,24,special_punc_heavy_hitter,0.953125
7,25,special_punc_heavy_hitter,0.9296875
7,26,special_punc_heavy_hitter,0.9921875
7,27,special_punc_heavy_hitter,0.98046875
7,28,special_punc_heavy_hitter,0.98828125
7,29,special_punc_heavy_hitter,0.95703125
7,30,special_punc_heavy_hitter,0.9921875
7,31,special_punc_heavy_hitter,0.95703125
8,0,special_punc_heavy_hitter,0.9609375
8,1,special_punc_heavy_hitter,0.90234375
8,2,special_punc_heavy_hitter,0.9296875
8,3,special_punc_heavy_hitter,0.9609375
8,4,special_punc_heavy_hitter,0.984375
8,5,special_punc_heavy_hitter,0.9609375
8,6,special_punc_heavy_hitter,0.92578125
8,7,special_punc_heavy_hitter,0.953125
8,8,special_punc_heavy_hitter,0.91015625
8,9,special_punc_heavy_hitter,0.95703125
8,10,special_punch_window_heavy_hitter,0.98828125
8,11,special_punc_heavy_hitter,0.8984375
8,12,special_punc_heavy_hitter,0.9609375
8,13,special_punc_heavy_hitter,0.9296875
8,14,special_punc_heavy_hitter,0.984375
8,15,special_punc_heavy_hitter,0.93359375
8,16,special_punc_heavy_hitter,0.91015625
8,17,special_punc_heavy_hitter,0.9296875
8,18,special_punc_heavy_hitter,0.984375
8,19,special_punc_heavy_hitter,0.9765625
8,20,special_punc_heavy_hitter,0.98046875
8,21,special_punch_window_heavy_hitter,0.9921875
8,22,special_punc_heavy_hitter,0.93359375
8,23,special_punc_heavy_hitter,0.94140625
8,24,special_punc_heavy_hitter,0.91796875
8,25,special_punc_heavy_hitter,0.98046875
8,26,special_punc_heavy_hitter,0.98828125
8,27,special_punc_heavy_hitter,0.9296875
8,28,special_punc_heavy_hitter,0.9921875
8,29,special_punc_heavy_hitter,0.95703125
8,30,special_punc_heavy_hitter,0.94921875
8,31,special_punc_heavy_hitter,0.98828125
9,0,special_punc_heavy_hitter,0.98046875
9,1,special_punc_heavy_hitter,0.9765625
9,2,special_punc_heavy_hitter,0.90234375
9,3,special_punc_heavy_hitter,0.921875
9,4,special_punch_window_heavy_hitter,0.9921875
9,5,special_punc_heavy_hitter,0.921875
9,6,special_punch_window_heavy_hitter,0.984375
9,7,special_punc_heavy_hitter,0.91796875
9,8,special_punc_heavy_hitter,0.9609375
9,9,special_punc_heavy_hitter,0.94921875
9,10,special_punc_heavy_hitter,0.9296875
9,11,special_punch_window_heavy_hitter,0.984375
9,12,special_punch_window_heavy_hitter,0.9765625
9,13,special_punch_window_heavy_hitter,0.98828125
9,14,special_punc_heavy_hitter,0.96484375
9,15,special_punc_heavy_hitter,0.921875
9,16,special_punch_window_heavy_hitter,1.0
9,17,special_punc_heavy_hitter,0.96484375
9,18,special_punc_heavy_hitter,0.90234375
9,19,special_punc_heavy_hitter,0.90234375
9,20,special_punc_heavy_hitter,0.92578125
9,21,special_punc_heavy_hitter,0.96484375
9,22,special_punc_heavy_hitter,0.98046875
9,23,special_punc_heavy_hitter,0.96875
9,24,special_punch_window_heavy_hitter,0.98828125
9,25,special_punc_heavy_hitter,0.984375
9,26,special_punc_heavy_hitter,0.9921875
9,27,special_punch_window_heavy_hitter,1.0
9,28,special_punc_heavy_hitter,0.92578125
9,29,special_punc_heavy_hitter,0.97265625
9,30,special_punch_window_heavy_hitter,0.98046875
9,31,special_punc_heavy_hitter,0.91796875
10,0,special_punc_heavy_hitter,0.94921875
10,1,special_punch_window_heavy_hitter,0.9921875
10,2,special_punch_window_heavy_hitter,0.97265625
10,3,special_punch_window_heavy_hitter,0.9921875
10,4,special_punc_heavy_hitter,0.9375
10,5,special_punc_heavy_hitter,0.90625
10,6,special_punc_heavy_hitter,0.9140625
10,7,special_punc_heavy_hitter,0.97265625
10,8,special_punch_window_heavy_hitter,0.98046875
10,9,special_punc_heavy_hitter,0.94921875
10,10,special_punc_heavy_hitter,0.9453125
10,11,special_punc_heavy_hitter,0.9296875
10,12,special_punc_heavy_hitter,0.9375
10,13,special_punc_heavy_hitter,0.9453125
10,14,special_punc_heavy_hitter,0.96484375
10,15,special_punc_heavy_hitter,0.9609375
10,16,special_punc_heavy_hitter,0.921875
10,17,special_punch_window_heavy_hitter,1.0
10,18,special_punc_heavy_hitter,0.96484375
10,19,special_punc_heavy_hitter,0.95703125
10,20,special_punc_heavy_hitter,0.94921875
10,21,special_punc_heavy_hitter,0.93359375
10,22,special_punc_heavy_hitter,0.921875
10,23,special_punc_heavy_hitter,0.984375
10,24,special_punc_heavy_hitter,0.9140625
10,25,special_punch_window_heavy_hitter,0.99609375
10,26,special_punc_heavy_hitter,0.95703125
10,27,special_punc_heavy_hitter,0.9140625
10,28,special_punch_window_heavy_hitter,0.98828125
10,29,special_punch_window_heavy_hitter,0.9765625
10,30,special_punch_window_heavy_hitter,0.984375
10,31,special_punc_heavy_hitter,0.9296875
11,0,special_punc_heavy_hitter,0.921875
11,1,special_punc_heavy_hitter,0.96484375
11,2,special_punc_heavy_hitter,0.9921875
11,3,special_punc_heavy_hitter,0.9609375
11,4,special_punch_window_heavy_hitter,0.9765625
11,5,special_punc_heavy_hitter,0.9765625
11,6,special_punch_window_heavy_hitter,0.9765625
11,7,special_punc_heavy_hitter,0.921875
11,8,special_punc_heavy_hitter,0.92578125
11,9,special_punc_heavy_hitter,0.953125
11,10,special_punch_window_heavy_hitter,0.98046875
11,11,special_punc_heavy_hitter,0.9140625
11,12,special_punch_window_heavy_hitter,0.9921875
11,13,special_punc_heavy_hitter,0.94921875
11,14,special_punc_heavy_hitter,0.984375
11,15,special_punc_heavy_hitter,0.9921875
11,16,special_punc_heavy_hitter,0.9375
11,17,special_punc_heavy_hitter,0.9296875
11,18,special_punc_heavy_hitter,0.98046875
11,19,special_punc_heavy_hitter,0.921875
11,20,special_punc_heavy_hitter,0.96484375
11,21,special_punch_window_heavy_hitter,0.98046875
11,22,special_punc_heavy_hitter,0.96484375
11,23,special_punc_heavy_hitter,0.98046875
11,24,special_punc_heavy_hitter,0.91015625
11,25,special_punc_heavy_hitter,0.93359375
11,26,special_punc_heavy_hitter,0.9296875
11,27,special_punc_heavy_hitter,0.8984375
11,28,special_punc_heavy_hitter,0.96484375
11,29,special_punc_heavy_hitter,0.953125
11,30,special_punc_heavy_hitter,0.953125
11,31,special_punc_heavy_hitter,0.9296875
12,0,special_punch_window_heavy_hitter,0.98828125
12,1,special_punc_heavy_hitter,0.90625
12,2,special_punc_heavy_hitter,0.984375
12,3,special_punc_heavy_hitter,0.95703125
12,4,special_punc_heavy_hitter,0.921875
12,5,special_punc_heavy_hitter,0.93359375
12,6,special_punc_heavy_hitter,0.9453125
12,7,special_punc_heavy_hitter,0.91015625
