layerID,head,strategy,score
1,3,full,1.0
1,4,special,0.22265625
1,4,special_punc,0.4453125
1,4,special_punc_heavy_hitter,0.88671875
1,4,special_punch_window_heavy_hitter,0.96875
1,4,full,1.0
1,5,special,0.2001953125
1,5,special_punc,0.322265625
1,5,special_punc_heavy_hitter,0.796875
1,5,special_punch_window_heavy_hitter,0.9453125
1,5,full,1.0
1,6,special,0.177734375
1,6,special_punc,0.341796875
1,6,special_punc_heavy_hitter,0.78515625
1,6,special_punch_window_heavy_hitter,0.9765625
1,6,full,1.0
1,7,special,0.1708984375
1,7,special_punc,0.396484375
1,7,special_punc_heavy_hitter,0.7109375
1,7,special_punch_window_heavy_hitter,0.96484375
1,7,full,1.0
1,8,special,0.1630859375
1,8,special_punc,0.357421875
1,8,special_punc_heavy_hitter,0.859375
1,8,special_punch_window_heavy_hitter,0.96484375
1,8,full,1.0
1,9,special,0.201171875
1,9,special_punc,0.451171875
1,9,special_punc_heavy_hitter,0.8984375
1,9,special_punch_window_heavy_hitter,0.98828125
1,9,full,1.0
1,10,special,0.1826171875
1,10,special_punc,0.34375
1,10,special_punc_heavy_hitter,0.7734375
1,10,special_punch_window_heavy_hitter,0.95703125
1,10,full,1.0
1,11,special,0.1826171875
1,11,special_punc,0.375
1,11,special_punc_heavy_hitter,0.85546875
1,11,special_punch_window_heavy_hitter,0.96875
1,11,full,1.0
1,12,special,0.2236328125
1,12,special_punc,0.328125
1,12,special_punc_heavy_hitter,0.64453125
1,12,special_punch_window_heavy_hitter,0.96484375
1,12,full,1.0
1,13,special,0.212890625
1,13,special_punc,0.466796875
1,13,special_punc_heavy_hitter,0.89453125
1,13,special_punch_window_heavy_hitter,0.9765625
1,13,full,1.0
1,14,special,0.2080078125
1,14,special_punc,0.373046875
1,14,special_punc_heavy_hitter,0.734375
1,14,special_punch_window_heavy_hitter,0.97265625
1,14,full,1.0
1,15,special,0.1923828125
1,15,special_punc,0.392578125
1,15,special_punc_heavy_hitter,0.84765625
1,15,special_punch_window_heavy_hitter,0.98828125
1,15,full,1.0
1,16,special,0.181640625
1,16,special_punc,0.384765625
1,16,special_punc_heavy_hitter,0.81640625
